phase,model,start,step,loss,train_acc,cv_acc,l2,theta_std,theta_absmax,elapsed,is_best
candidate,baseline,1,0,0.50092297,0.78240741,0.73437500,0.005,0.48181023,1.16251539,15.895,1
spsa,baseline,1,1,0.50104050,0.78240741,0.73437500,0.005,0.48224637,1.16480076,42.296,1
candidate,baseline,2,0,0.48486280,0.77314815,0.75390625,0.005,0.42055011,1.35558124,58.585,1
spsa,baseline,2,1,0.48667890,0.77083333,0.76171875,0.005,0.41035972,1.32204022,85.120,1
candidate,baseline,3,0,0.53453159,0.76504630,0.71875000,0.02,0.50157730,1.22073369,102.018,0
spsa,baseline,3,1,0.53461099,0.76388889,0.71875000,0.02,0.50134284,1.21845048,128.460,0
candidate,baseline,4,0,0.51779183,0.76736111,0.71875000,0.005,0.54427942,1.66149976,146.312,0
spsa,baseline,4,1,0.51456648,0.76620370,0.71093750,0.005,0.54537664,1.62795874,172.821,0
candidate,baseline,5,0,0.49415796,0.77777778,0.77343750,0.005,0.50761439,1.12636456,188.818,1
spsa,baseline,5,1,0.50213823,0.77314815,0.76953125,0.01,0.50936400,1.15990558,212.479,0
candidate,baseline,6,0,0.52368940,0.75694444,0.74218750,0.005,0.45314383,1.21586625,230.133,0
spsa,baseline,6,1,0.53573975,0.75115741,0.73437500,0.01,0.45385960,1.22758701,257.245,0
candidate,baseline,7,0,0.52827076,0.74421296,0.68359375,0.005,0.47699643,1.27664592,272.779,0
spsa,baseline,7,1,0.52592151,0.74189815,0.69921875,0.005,0.47833149,1.26251435,297.527,0
candidate,baseline,8,0,0.55861640,0.73726852,0.71875000,0.02,0.44245430,1.25837986,312.926,0
spsa,baseline,8,1,0.55899286,0.73842593,0.71875000,0.02,0.44275495,1.26269971,338.617,0
candidate,baseline,9,0,0.49331385,0.77777778,0.77343750,0.005,0.55519662,1.26904919,355.719,1
spsa,baseline,9,1,0.49129955,0.78472222,0.78125000,0.005,0.55754919,1.28668937,379.058,1
candidate,baseline,10,0,0.55290874,0.74652778,0.69921875,0.02,0.48260213,1.26116371,392.798,0
spsa,baseline,10,1,0.55668050,0.74189815,0.70703125,0.02,0.47946517,1.22762269,418.276,0
candidate,baseline,11,0,0.55070353,0.73958333,0.69140625,0.005,0.40354915,1.09624836,433.659,0
spsa,baseline,11,1,0.54388900,0.74537037,0.69531250,0.005,0.40689516,1.12978938,459.510,0
candidate,baseline,12,0,0.50741352,0.77199074,0.73828125,0.005,0.43172048,0.96017030,477.486,0
spsa,baseline,12,1,0.50743681,0.77083333,0.73828125,0.005,0.43192909,0.96173121,506.514,0
candidate,baseline,13,0,0.49066233,0.78009259,0.73437500,0.005,0.46173401,1.12726953,523.077,0
spsa,baseline,13,1,0.49010887,0.78009259,0.73437500,0.005,0.46216895,1.13412474,545.233,0
candidate,baseline,14,0,0.50450318,0.77430556,0.75000000,0.005,0.49702740,1.53916596,559.838,0
spsa,baseline,14,1,0.51439328,0.77083333,0.75390625,0.01,0.49801301,1.50562494,582.021,0
candidate,baseline,15,0,0.51495710,0.75231481,0.75781250,0.01,0.49564528,1.46248529,598.382,0
spsa,baseline,15,1,0.50517229,0.75810185,0.75000000,0.005,0.49591498,1.46664031,624.292,0
candidate,baseline,16,0,0.55143352,0.74537037,0.67187500,0.005,0.48843050,1.13972442,639.306,0
spsa,baseline,16,1,0.58489258,0.72685185,0.67187500,0.02,0.48757379,1.12808580,661.984,0
candidate,lightweight,1,0,0.53342260,0.73148148,0.71484375,0.005,0.46679849,1.27876693,5.269,1
spsa,lightweight,1,1,0.55276220,0.72337963,0.71875000,0.02,0.46964393,1.27090969,12.363,1
spsa,lightweight,1,2,0.55305848,0.72685185,0.71484375,0.02,0.46905496,1.26902333,19.876,0
spsa,lightweight,1,3,0.52977263,0.73263889,0.72656250,0.005,0.46464307,1.24698312,27.812,1
candidate,lightweight,2,0,0.55257187,0.73842593,0.72265625,0.02,0.33926474,0.71673648,33.112,0
spsa,lightweight,2,1,0.53381906,0.74884259,0.72656250,0.01,0.35943941,0.76242347,40.744,1
spsa,lightweight,2,2,0.51908159,0.76504630,0.73828125,0.005,0.35449298,0.71282018,48.456,1
spsa,lightweight,2,3,0.52005168,0.76388889,0.73437500,0.005,0.35494253,0.71777035,56.888,0
candidate,lightweight,3,0,0.59124823,0.70601852,0.70703125,0.02,0.45683404,1.34280706,62.522,0
spsa,lightweight,3,1,0.58566155,0.71296296,0.72265625,0.02,0.45049556,1.32964108,70.596,0
spsa,lightweight,3,2,0.58585535,0.71180556,0.71875000,0.02,0.44882391,1.31850390,79.454,0
spsa,lightweight,3,3,0.58518790,0.71296296,0.70703125,0.02,0.44942568,1.31857482,88.311,0
candidate,lightweight,4,0,0.53758215,0.73611111,0.73437500,0.005,0.64961793,1.82764973,94.244,0
spsa,lightweight,4,1,0.53822268,0.73495370,0.73437500,0.005,0.65057351,1.81480351,102.331,0
spsa,lightweight,4,2,0.53787377,0.73379630,0.73046875,0.005,0.65225517,1.82829505,111.364,0
spsa,lightweight,4,3,0.53738614,0.73263889,0.73046875,0.005,0.64979539,1.81593527,120.534,0
candidate,lightweight,5,0,0.56920316,0.72685185,0.69531250,0.005,0.57575777,1.23900102,126.491,0
spsa,lightweight,5,1,0.57281646,0.72106481,0.69140625,0.01,0.57976128,1.27968120,134.752,0
spsa,lightweight,5,2,0.57978862,0.71412037,0.68750000,0.02,0.58123707,1.29532695,141.185,0
spsa,lightweight,5,3,0.57986827,0.71412037,0.68750000,0.02,0.58194892,1.29955518,147.434,0
candidate,lightweight,6,0,0.51769259,0.76273148,0.73828125,0.01,0.48227272,0.95267416,152.254,1
